,production_date,mileage,model_date,carconfig,colour,transmission,drive_unit,wheel,owners,licence,brand,model_name,age,engine_displacement,power,fuel_type,number_of_doors,price,test
1308,2017,24500,I Рестайлинг 2013 – 2018 ,внедорожник 5 дв.,белый,роботизированная,полный,Левый,1 владелец,Оригинал,Skoda ,Yeti ,,1.8 LTR ,152, Бензин,5,1315000,0
1309,2013,167000,I 2010 – 2015 ,внедорожник 5 дв.,красный,механическая,передний,Левый,3 или более,Оригинал,Renault ,Duster ,,1.6 LTR ,102, Бензин,5,568990,0
1310,2020,8000,II Рестайлинг 2020 – н.в. ,седан,белый,автоматическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Solaris ,,1.6 LTR ,123, Бензин,4,1089000,0
1311,2016,73500,II 2013 – 2019 ,внедорожник 5 дв.,серый,вариатор,полный,Левый,1 владелец,Оригинал,Nissan ,Qashqai ,,2.0 LTR ,144, Бензин,5,1375990,0
1312,2012,108663,II 2009 – 2012 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,3 или более,Оригинал,Cadillac ,SRX ,,3.0 LTR ,271, Бензин,5,1059000,0
1313,2016,108811,2015 – н.в. ,внедорожник 5 дв.,белый,механическая,передний,Левый,2 владельца,Оригинал,Lifan ,X50 ,,1.5 LTR ,103, Бензин,5,432000,0
1314,2015,32348,I Рестайлинг 2014 – 2017 ,седан,серый,автоматическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Solaris ,,1.6 LTR ,123, Бензин,4,779000,0
1315,1996,222824,III 1991 – 2000 ,хэтчбек 5 дв.,зелёный,механическая,передний,Левый,2 владельца,Оригинал,Volkswagen ,Golf ,,1.8 LTR ,90, Бензин,5,139000,0
1316,2014,85000,I Рестайлинг 2012 – 2016 ,внедорожник 5 дв.,серебристый,вариатор,передний,Левый,1 владелец,Оригинал,Mitsubishi ,ASX ,,1.8 LTR ,140, Бензин,5,1040000,0
1317,2017,108673,II 2016 – 2020 ,внедорожник 5 дв.,бежевый,роботизированная,передний,Левый,1 владелец,Оригинал,Volkswagen ,Tiguan ,,1.4 LTR ,125, Бензин,5,1495000,0
1318,2012,267798,I 2009 – 2014 ,внедорожник 5 дв.,чёрный,роботизированная,полный,Левый,1 владелец,Оригинал,Skoda ,Yeti ,,1.8 LTR ,152, Бензин,5,699000,0
1319,2019,33000,I 2016 – 2020 ,внедорожник 5 дв.,чёрный,механическая,полный,Левый,2 владельца,Оригинал,Hyundai ,Creta ,,1.6 LTR ,121, Бензин,5,1200000,0
1320,2018,89000,II 2013 – 2019 ,внедорожник 5 дв.,белый,вариатор,передний,Левый,1 владелец,Оригинал,Nissan ,Qashqai ,3 года и 3 месяца,2.0 LTR ,144, Бензин,5,1469000,0
1321,2016,17000,I 2013 – 2016 ,хэтчбек 5 дв.,коричневый,вариатор,передний,Правый,1 владелец,Оригинал,Honda ,N-WGN ,,0.7 LTR ,58, Бензин,5,599000,0
1322,2020,26110,IV 2017 – 2020 ,седан,серебристый,автоматическая,передний,Левый,1 владелец,Оригинал,Kia ,Rio ,,1.6 LTR ,123, Бензин,4,1147000,0
1323,2017,103000,IV (CA40) Рестайлинг 2015 – 2019 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,1 владелец,Оригинал,Toyota ,RAV4 ,,2.5 LTR ,180, Бензин,5,2129000,0
1324,2018,14691,II (F16) 2014 – 2020 ,внедорожник 5 дв.,серый,автоматическая,полный,Левый,1 владелец,Оригинал,BMW ,X6 ,,3.0 LTR ,249, Дизель,5,4700000,0
1325,2014,81618,III 2012 – 2015 ,внедорожник 5 дв.,чёрный,вариатор,полный,Левый,1 владелец,Оригинал,Mitsubishi ,Outlander ,,2.0 LTR ,146, Бензин,5,1399000,0
